,GEO.id,zip_code,GEO.display-label,poulation,percent_employed,inc_<10k,inc_10-15k,inc_15-25k,median_inc,mean_inc,percent_no_health,percent_public_health
146,8600000US60404,60404,ZCTA5 60404,13815,67.5,3.1,2.1,6,86706,94779,10.5,17.2
147,8600000US60406,60406,ZCTA5 60406,19134,66.7,9.8,8.7,14.5,40875,49935,21.3,41.6
148,8600000US60407,60407,ZCTA5 60407,1453,67.3,3.9,4.2,9.4,56563,63344,11.8,31.3
149,8600000US60408,60408,ZCTA5 60408,4304,68.3,1.6,6.6,9.5,64292,67494,13.5,24.1
150,8600000US60409,60409,ZCTA5 60409,28186,66,9.8,7.6,12.9,40359,50450,21.4,39.7
151,8600000US60410,60410,ZCTA5 60410,9043,74.9,1.1,0.7,3,86325,94584,4.7,16
152,8600000US60411,60411,ZCTA5 60411,43443,62.7,14.8,5.2,13.4,41537,53356,19.6,42.1
153,8600000US60415,60415,ZCTA5 60415,11085,71,7.3,3.7,11,50336,55218,14,35.9
154,8600000US60416,60416,ZCTA5 60416,6720,71.1,6.4,4.6,9,60103,69705,8.6,24.8
155,8600000US60417,60417,ZCTA5 60417,12778,67.2,4.1,2.5,9.1,70383,80771,10.7,27.1
156,8600000US60419,60419,ZCTA5 60419,17760,68.9,10.7,6.2,9.6,48012,58174,18.9,36.2
157,8600000US60420,60420,ZCTA5 60420,5623,43.5,5.9,2.7,11,60658,66468,7.3,33.5
158,8600000US60421,60421,ZCTA5 60421,3090,64.9,0,3.4,8.1,70485,79750,9.7,24.3
159,8600000US60422,60422,ZCTA5 60422,7299,62.1,3,2,2.3,98140,131414,7.3,27.1
160,8600000US60423,60423,ZCTA5 60423,22717,69.5,2.4,1.3,5.8,95667,116136,4.3,16
161,8600000US60424,60424,ZCTA5 60424,1818,61.9,3.7,5.4,8.2,57417,71028,8.6,33.4
162,8600000US60425,60425,ZCTA5 60425,6985,63.8,7.8,2,11.3,55139,64435,14.2,37.8
163,8600000US60426,60426,ZCTA5 60426,20592,55.2,24.6,9.5,14.4,26080,38442,26,49.8
164,8600000US60428,60428,ZCTA5 60428,9725,57.9,15.2,5.1,12.7,39739,47766,19,47.6
165,8600000US60429,60429,ZCTA5 60429,12057,62.5,7.3,7.7,10.5,48487,60221,16.5,35.9
166,8600000US60430,60430,ZCTA5 60430,16988,67.7,3.9,2.7,6.4,72754,86773,7.9,23.3
167,8600000US60431,60431,ZCTA5 60431,16417,74,1.7,1.2,3.9,81037,92370,7.5,17.3
168,8600000US60432,60432,ZCTA5 60432,15081,66.2,11.1,6.1,18.2,37624,47834,27.2,38.7
169,8600000US60433,60433,ZCTA5 60433,13391,62.6,6.8,4.9,13.1,43644,53863,22.8,37.5
170,8600000US60435,60435,ZCTA5 60435,38006,69.2,5.7,3.8,10.9,53691,64959,12.2,32.1
171,8600000US60436,60436,ZCTA5 60436,13967,62,8.2,5.4,15.4,45592,54372,16.1,36.1
172,8600000US60437,60437,ZCTA5 60437,118,40.7,6.6,0,31.6,36563,49234,12.1,29.3
173,8600000US60438,60438,ZCTA5 60438,22936,66.6,6.9,4.2,10.1,50941,61516,11.7,30.7
174,8600000US60439,60439,ZCTA5 60439,18400,71.2,1.6,1.6,5.7,92089,115472,6.1,18.8
175,8600000US60440,60440,ZCTA5 60440,40187,73.3,3.3,2.5,7.3,71422,80674,14.9,25.4
176,8600000US60441,60441,ZCTA5 60441,26701,71.6,3,1.7,8.9,72333,85698,8.2,21.2
177,8600000US60442,60442,ZCTA5 60442,7456,74.2,0.9,3.1,8.4,76029,85034,9.2,14.8
178,8600000US60443,60443,ZCTA5 60443,16291,69.8,5.5,3.8,9.8,64384,73998,11.7,28.3
179,8600000US60444,60444,ZCTA5 60444,1375,67.3,1.4,1.2,9.4,72500,82848,11.9,24.6
180,8600000US60445,60445,ZCTA5 60445,21063,69.3,4.7,2.2,11.9,58813,66134,9.6,27.1
181,8600000US60446,60446,ZCTA5 60446,29118,69.9,3.1,1.5,4.2,68672,75011,11.4,24.2
182,8600000US60447,60447,ZCTA5 60447,10448,72.4,2.8,2.9,5.6,81325,93896,8,20.5
183,8600000US60448,60448,ZCTA5 60448,19989,72.2,1.6,1.3,3.4,95208,111695,4.8,16.9
184,8600000US60449,60449,ZCTA5 60449,6997,71.9,0.6,0.8,7.3,74322,92016,8.2,23.9
185,8600000US60450,60450,ZCTA5 60450,16515,63.3,5.1,4.3,8.1,62647,78354,7.7,25.9
186,8600000US60451,60451,ZCTA5 60451,25884,73,1.5,2,4.3,91980,101468,4.9,15
187,8600000US60452,60452,ZCTA5 60452,22304,70.7,4.4,3.5,5.9,71526,80586,11.2,23.4
188,8600000US60453,60453,ZCTA5 60453,46131,64.5,5,4.6,9.9,57381,71480,10.2,30
189,8600000US60455,60455,ZCTA5 60455,12614,64.4,7.2,4.4,11.5,52298,58799,19.7,32.8
190,8600000US60456,60456,ZCTA5 60456,3404,67.2,6.6,3,11.3,49667,54710,14.1,29.7
191,8600000US60457,60457,ZCTA5 60457,11018,64.7,3.4,5.5,10.2,54234,66825,15.3,34.9
192,8600000US60458,60458,ZCTA5 60458,10532,73.9,6.4,5.6,11.3,50522,61575,18.8,35.2
193,8600000US60459,60459,ZCTA5 60459,22652,65,3.7,4.9,9.7,56503,66332,18.9,32.9
194,8600000US60460,60460,ZCTA5 60460,1145,67.7,4.9,3.2,8.5,55357,71115,10.5,38.3
195,8600000US60461,60461,ZCTA5 60461,4146,58.7,2.1,0,7.6,86646,113909,6.1,37
196,8600000US60462,60462,ZCTA5 60462,32845,65.6,2.2,2.4,6.7,77780,98589,7.8,27.6
197,8600000US60463,60463,ZCTA5 60463,12325,53.1,2.4,1.6,7.4,76085,99014,5.2,32
198,8600000US60464,60464,ZCTA5 60464,8266,54.9,3.7,2.6,11.1,76371,105356,7,34.1
199,8600000US60465,60465,ZCTA5 60465,14954,64,5,3.5,10.5,55363,70505,13.4,32.2
200,8600000US60466,60466,ZCTA5 60466,17224,66.4,8.4,6.5,11.9,48559,56019,14.2,34.8
