,GEO.id,zip_code,GEO.display-label,total_population,percent_age_under_5,percent_age_5-9,percent_age_10-14,percent_age_15-19,percent_age_20-24,percent_age_25-34,percent_age_35-44,percent_age_45-54,percent_age_55-59,percent_age_60-64,percent_age_65-74,percent_age_75-84,percent_age85_and_over,percent_age_65_and_over,median_age
75,8600000US60112,60112,ZCTA5 60112,4674,11.9,9.6,7.2,8.8,7,20.5,16.9,10.4,2.9,2,2.2,0.7,0,2.9,28.3
76,8600000US60113,60113,ZCTA5 60113,309,2.3,3.9,12.9,3.9,24.3,7.8,9.4,19.4,7.4,2.6,3.2,2.9,0,6.1,29.1
77,8600000US60115,60115,ZCTA5 60115,46267,6.1,4.4,4.9,13.3,23.9,14,8.7,9,3.7,3.1,4.7,2.6,1.4,8.8,24.1
78,8600000US60118,60118,ZCTA5 60118,15587,7,6.3,6.5,6.2,4.6,11,14.1,17.9,8.7,5.5,7.7,3.1,1.3,12.1,40.9
79,8600000US60119,60119,ZCTA5 60119,10357,4.8,4.9,11.5,8.4,5.6,9.3,16.2,19.6,4.4,5.1,5.5,3.8,0.9,10.2,40.2
80,8600000US60120,60120,ZCTA5 60120,51216,10.1,8.3,8.1,7.2,6.5,15.9,14.9,13.1,5.5,3.8,3.6,1.9,1,6.5,31.3
81,8600000US60123,60123,ZCTA5 60123,48053,8.1,7,7.5,7.3,7.5,15.6,11.7,13,5.8,4.9,6.3,3.3,1.9,11.6,33.4
82,8600000US60124,60124,ZCTA5 60124,19618,9.4,6,5.6,6.9,5.5,11.2,15.6,14.6,7,5.6,8,3.3,1.2,12.5,38.6
83,8600000US60126,60126,ZCTA5 60126,46450,5.7,8.1,7.8,7.7,6.1,8.4,13.8,15.6,6.8,5.4,6.8,4.6,3.3,14.6,40.2
84,8600000US60129,60129,ZCTA5 60129,184,0,4.3,13.6,4.9,9.8,12,6,23.9,7.1,7.1,6,5.4,0,11.4,44.9
85,8600000US60130,60130,ZCTA5 60130,14202,5.5,2.9,5.4,5,5.9,18.4,15.5,16,8.3,5.2,6.6,3.9,1.5,12,39.1
